x_0, x_1, y
0.662770, -0.564110, 0.687095
0.661449, -0.562808, 0.684756
0.660130, -0.561508, 0.682416
0.658812, -0.560209, 0.680077
0.657496, -0.558911, 0.677739
0.656181, -0.557615, 0.675401
0.654867, -0.556321, 0.673063
0.653554, -0.555028, 0.670727
0.652242, -0.553736, 0.668391
0.650932, -0.552446, 0.666057
0.649624, -0.551158, 0.663723
0.648316, -0.549870, 0.661391
0.647010, -0.548585, 0.659059
0.645706, -0.547301, 0.656730
0.644402, -0.546018, 0.654401
0.643100, -0.544737, 0.652074
0.641800, -0.543458, 0.649749
0.640501, -0.542180, 0.647425
0.639203, -0.540904, 0.645103
0.637907, -0.539629, 0.642782
0.636612, -0.538356, 0.640464
0.635319, -0.537084, 0.638147
0.634027, -0.535814, 0.635833
0.632736, -0.534546, 0.633521
0.631447, -0.533280, 0.631210
0.630160, -0.532015, 0.628903
0.628874, -0.530751, 0.626597
0.627589, -0.529489, 0.624294
0.626306, -0.528229, 0.621993
0.625025, -0.526971, 0.619695
0.623745, -0.525714, 0.617400
0.622466, -0.524459, 0.615107
0.621189, -0.523206, 0.612817
0.619914, -0.521954, 0.610530
0.618640, -0.520704, 0.608245
0.617367, -0.519456, 0.605964
0.616097, -0.518209, 0.603685
0.614827, -0.516964, 0.601410
0.613560, -0.515721, 0.599138
0.612293, -0.514480, 0.596869
0.611029, -0.513240, 0.594603
0.609766, -0.512002, 0.592341
0.608504, -0.510766, 0.590082
0.607245, -0.509532, 0.587826
0.605986, -0.508299, 0.585574
0.604730, -0.507068, 0.583325
0.603475, -0.505839, 0.581080
0.602221, -0.504612, 0.578839
0.600969, -0.503387, 0.576601
0.599719, -0.502163, 0.574367
0.598471, -0.500941, 0.572137
0.597224, -0.499721, 0.569911
0.595978, -0.498502, 0.567688
0.594735, -0.497286, 0.565470
0.593493, -0.496071, 0.563255
0.592252, -0.494858, 0.561045
0.591014, -0.493647, 0.558839
0.589777, -0.492438, 0.556636
0.588541, -0.491230, 0.554438
0.587308, -0.490025, 0.552245
0.586075, -0.488821, 0.550055
0.584845, -0.487619, 0.547870
0.583616, -0.486419, 0.545689
0.582389, -0.485221, 0.543513
0.581164, -0.484024, 0.541341
0.579940, -0.482830, 0.539173
0.578718, -0.481637, 0.537010
0.577498, -0.480446, 0.534852
0.576279, -0.479257, 0.532698
0.575062, -0.478070, 0.530548
0.573847, -0.476885, 0.528404
0.572633, -0.475701, 0.526264
0.571421, -0.474520, 0.524129
0.570211, -0.473340, 0.521998
0.569003, -0.472163, 0.519873
0.567796, -0.470987, 0.517752
0.566591, -0.469813, 0.515636
0.565388, -0.468641, 0.513525
0.564186, -0.467470, 0.511419
0.562986, -0.466302, 0.509317
0.561788, -0.465136, 0.507221
0.560592, -0.463971, 0.505130
0.559397, -0.462809, 0.503044
0.558204, -0.461648, 0.500962
0.557013, -0.460489, 0.498886
0.555823, -0.459332, 0.496816
0.554636, -0.458177, 0.494750
0.553449, -0.457024, 0.492689
0.552265, -0.455873, 0.490634
0.551083, -0.454723, 0.488583
0.549902, -0.453576, 0.486538
0.548723, -0.452431, 0.484499
0.547545, -0.451287, 0.482464
0.546370, -0.450145, 0.480435
0.545196, -0.449006, 0.478411
0.544024, -0.447868, 0.476393
0.542853, -0.446732, 0.474380
0.541684, -0.445598, 0.472372
0.540518, -0.444466, 0.470369
0.539352, -0.443336, 0.468372
0.538189, -0.442208, 0.466381
0.537027, -0.441082, 0.464395
0.535867, -0.439957, 0.462414
0.534709, -0.438835, 0.460439
0.533553, -0.437714, 0.458470
0.532398, -0.436596, 0.456506
0.531245, -0.435479, 0.454547
0.530094, -0.434365, 0.452594
0.528945, -0.433252, 0.450647
0.527797, -0.432141, 0.448705
0.526651, -0.431032, 0.446768
0.525507, -0.429925, 0.444838
0.524365, -0.428820, 0.442913
0.523224, -0.427717, 0.440993
0.522085, -0.426616, 0.439079
0.520948, -0.425517, 0.437171
0.519813, -0.424419, 0.435269
0.518679, -0.423324, 0.433372
0.517547, -0.422231, 0.431481
0.516417, -0.421139, 0.429595
0.515289, -0.420050, 0.427716
0.514162, -0.418962, 0.425841
0.513037, -0.417876, 0.423973
0.511914, -0.416792, 0.422110
0.510793, -0.415711, 0.420253
0.509673, -0.414631, 0.418402
0.508555, -0.413553, 0.416557
0.507439, -0.412477, 0.414717
0.506325, -0.411403, 0.412883
0.505213, -0.410331, 0.411055
0.504102, -0.409260, 0.409232
0.502993, -0.408192, 0.407416
0.501885, -0.407126, 0.405605
0.500780, -0.406061, 0.403800
0.499676, -0.404999, 0.402000
0.498574, -0.403938, 0.400207
0.497474, -0.402880, 0.398419
0.496375, -0.401823, 0.396637
0.495278, -0.400768, 0.394861
0.494183, -0.399716, 0.393090
0.493090, -0.398665, 0.391326
0.491999, -0.397616, 0.389567
0.490909, -0.396569, 0.387814
0.489821, -0.395524, 0.386066
0.488735, -0.394480, 0.384325
0.487650, -0.393439, 0.382589
0.486567, -0.392400, 0.380859
0.485486, -0.391363, 0.379135
0.484407, -0.390327, 0.377417
0.483329, -0.389294, 0.375704
0.482254, -0.388262, 0.373998
0.481179, -0.387232, 0.372297
0.480107, -0.386204, 0.370602
0.479036, -0.385179, 0.368912
0.477968, -0.384155, 0.367229
0.476901, -0.383133, 0.365551
0.475835, -0.382112, 0.363879
0.474771, -0.381094, 0.362213
0.473710, -0.380078, 0.360552
0.472649, -0.379064, 0.358898
0.471591, -0.378051, 0.357249
0.470534, -0.377041, 0.355606
0.469479, -0.376032, 0.353968
0.468426, -0.375025, 0.352337
0.467374, -0.374021, 0.350711
0.466325, -0.373018, 0.349091
0.465276, -0.372017, 0.347476
0.464230, -0.371018, 0.345868
0.463185, -0.370020, 0.344265
0.462143, -0.369025, 0.342668
0.461101, -0.368032, 0.341076
0.460062, -0.367040, 0.339491
0.459024, -0.366051, 0.337911
0.457988, -0.365063, 0.336336
0.456954, -0.364077, 0.334768
0.455921, -0.363093, 0.333205
0.454890, -0.362111, 0.331648
0.453861, -0.361131, 0.330096
0.452833, -0.360153, 0.328550
0.451808, -0.359177, 0.327010
0.450784, -0.358202, 0.325476
0.449761, -0.357230, 0.323947
0.448741, -0.356259, 0.322423
0.447722, -0.355290, 0.320906
0.446704, -0.354323, 0.319394
0.445689, -0.353358, 0.317887
0.444675, -0.352395, 0.316387
0.443663, -0.351434, 0.314892
0.442652, -0.350474, 0.313402
0.441644, -0.349517, 0.311918
0.440636, -0.348561, 0.310440
0.439631, -0.347607, 0.308967
0.438627, -0.346656, 0.307499
0.437625, -0.345706, 0.306038
0.436625, -0.344757, 0.304581
0.435626, -0.343811, 0.303131
0.434629, -0.342867, 0.301686
0.433634, -0.341924, 0.300246
0.432640, -0.340983, 0.298812
0.431649, -0.340044, 0.297383
0.430658, -0.339107, 0.295960
0.429670, -0.338172, 0.294542
0.428683, -0.337239, 0.293130
0.427698, -0.336308, 0.291723
0.426714, -0.335378, 0.290322
0.425732, -0.334450, 0.288926
0.424752, -0.333524, 0.287536
0.423773, -0.332600, 0.286150
0.422796, -0.331678, 0.284771
0.421821, -0.330758, 0.283396
0.420848, -0.329839, 0.282027
0.419876, -0.328923, 0.280664
0.418906, -0.328008, 0.279306
0.417937, -0.327095, 0.277953
0.416970, -0.326184, 0.276605
0.416005, -0.325274, 0.275263
0.415041, -0.324367, 0.273926
0.414079, -0.323461, 0.272594
0.413119, -0.322557, 0.271268
0.412160, -0.321655, 0.269947
0.411203, -0.320755, 0.268631
0.410247, -0.319856, 0.267320
0.409294, -0.318960, 0.266015
0.408342, -0.318065, 0.264715
0.407391, -0.317172, 0.263420
0.406442, -0.316281, 0.262130
0.405495, -0.315392, 0.260846
0.404549, -0.314504, 0.259566
0.403605, -0.313618, 0.258292
0.402663, -0.312735, 0.257023
0.401722, -0.311852, 0.255759
0.400783, -0.310972, 0.254500
0.399846, -0.310094, 0.253246
0.398910, -0.309217, 0.251998
0.397975, -0.308342, 0.250754
0.397043, -0.307469, 0.249516
0.396112, -0.306598, 0.248282
0.395182, -0.305728, 0.247054
0.394255, -0.304860, 0.245831
0.393328, -0.303994, 0.244612
0.392404, -0.303130, 0.243399
0.391481, -0.302268, 0.242191
0.390559, -0.301407, 0.240987
0.389640, -0.300548, 0.239789
0.388722, -0.299691, 0.238595
0.387805, -0.298836, 0.237407
0.386890, -0.297983, 0.236223
0.385977, -0.297131, 0.235045
0.385065, -0.296281, 0.233871
0.384155, -0.295433, 0.232702
0.383246, -0.294586, 0.231538
0.382339, -0.293741, 0.230379
0.381434, -0.292899, 0.229225
0.380530, -0.292057, 0.228075
0.379627, -0.291218, 0.226931
0.378727, -0.290380, 0.225791
0.377828, -0.289544, 0.224656
0.376930, -0.288710, 0.223525
0.376034, -0.287878, 0.222400
0.375140, -0.287047, 0.221279
0.374247, -0.286218, 0.220163
0.373356, -0.285391, 0.219052
0.372466, -0.284566, 0.217945
0.371578, -0.283742, 0.216843
0.370691, -0.282920, 0.215746
0.369806, -0.282100, 0.214653
0.368923, -0.281281, 0.213566
0.368041, -0.280465, 0.212482
0.367161, -0.279650, 0.211404
0.366282, -0.278836, 0.210330
0.365405, -0.278025, 0.209260
0.364529, -0.277215, 0.208195
0.363655, -0.276407, 0.207135
0.362782, -0.275600, 0.206079
0.361911, -0.274796, 0.205028
0.361042, -0.273993, 0.203981
0.360174, -0.273192, 0.202939
0.359307, -0.272392, 0.201902
0.358442, -0.271594, 0.200868
0.357579, -0.270798, 0.199840
0.356717, -0.270004, 0.198815
0.355857, -0.269211, 0.197796
0.354998, -0.268420, 0.196780
0.354141, -0.267630, 0.195769
0.353285, -0.266843, 0.194763
0.352431, -0.266057, 0.193761
0.351579, -0.265273, 0.192763
0.350727, -0.264490, 0.191769
0.349878, -0.263709, 0.190780
0.349030, -0.262930, 0.189796
0.348183, -0.262152, 0.188815
0.347338, -0.261377, 0.187839
0.346495, -0.260602, 0.186867
0.345652, -0.259830, 0.185900
0.344812, -0.259059, 0.184936
0.343973, -0.258290, 0.183977
0.343135, -0.257523, 0.183022
0.342299, -0.256757, 0.182072
0.341465, -0.255993, 0.181125
0.340632, -0.255230, 0.180183
0.339800, -0.254469, 0.179245
0.338970, -0.253710, 0.178311
0.338142, -0.252953, 0.177381
0.337315, -0.252197, 0.176456
0.336489, -0.251443, 0.175534
0.335665, -0.250690, 0.174617
0.334842, -0.249939, 0.173704
0.334021, -0.249190, 0.172794
0.333202, -0.248443, 0.171889
0.332384, -0.247697, 0.170988
0.331567, -0.246952, 0.170091
0.330752, -0.246210, 0.169198
0.329938, -0.245469, 0.168309
0.329126, -0.244729, 0.167424
0.328315, -0.243992, 0.166543
0.327506, -0.243256, 0.165666
0.326698, -0.242521, 0.164793
0.325891, -0.241788, 0.163924
0.325086, -0.241057, 0.163058
0.324283, -0.240327, 0.162197
0.323481, -0.239600, 0.161340
0.322680, -0.238873, 0.160486
0.321881, -0.238148, 0.159636
0.321084, -0.237425, 0.158791
0.320288, -0.236704, 0.157949
0.319493, -0.235984, 0.157110
0.318700, -0.235266, 0.156276
0.317908, -0.234549, 0.155446
0.317117, -0.233834, 0.154619
0.316329, -0.233120, 0.153796
0.315541, -0.232408, 0.152977
0.314755, -0.231698, 0.152161
0.313970, -0.230989, 0.151350
0.313187, -0.230282, 0.150542
0.312405, -0.229577, 0.149737
0.311625, -0.228873, 0.148937
0.310846, -0.228171, 0.148140
0.310069, -0.227470, 0.147347
0.309293, -0.226771, 0.146557
0.308518, -0.226073, 0.145771
0.307745, -0.225377, 0.144989
0.306973, -0.224683, 0.144210
0.306203, -0.223990, 0.143435
0.305434, -0.223299, 0.142664
