x_0, x_1, y
0.832382, -0.739895, 0.945883
0.831842, -0.739415, 0.945359
0.831299, -0.738933, 0.944832
0.830755, -0.738449, 0.944300
0.830208, -0.737963, 0.943763
0.829659, -0.737475, 0.943223
0.829108, -0.736985, 0.942678
0.828555, -0.736493, 0.942129
0.827999, -0.735999, 0.941575
0.827441, -0.735503, 0.941017
0.826881, -0.735006, 0.940455
0.826319, -0.734506, 0.939888
0.825755, -0.734004, 0.939317
0.825188, -0.733501, 0.938741
0.824620, -0.732995, 0.938161
0.824049, -0.732488, 0.937576
0.823475, -0.731978, 0.936987
0.822900, -0.731467, 0.936393
0.822322, -0.730953, 0.935795
0.821743, -0.730438, 0.935192
0.821161, -0.729920, 0.934584
0.820576, -0.729401, 0.933972
0.819990, -0.728880, 0.933355
0.819401, -0.728357, 0.932734
0.818810, -0.727831, 0.932107
0.818217, -0.727304, 0.931477
0.817622, -0.726775, 0.930841
0.817024, -0.726244, 0.930200
0.816424, -0.725711, 0.929555
0.815822, -0.725176, 0.928905
0.815218, -0.724638, 0.928251
0.814612, -0.724099, 0.927591
0.814003, -0.723558, 0.926927
0.813392, -0.723015, 0.926257
0.812779, -0.722470, 0.925583
0.812164, -0.721923, 0.924904
0.811546, -0.721374, 0.924220
0.810926, -0.720823, 0.923531
0.810304, -0.720271, 0.922837
0.809680, -0.719716, 0.922139
0.809054, -0.719159, 0.921435
0.808425, -0.718600, 0.920726
0.807794, -0.718039, 0.920012
0.807161, -0.717476, 0.919293
0.806526, -0.716912, 0.918569
0.805888, -0.716345, 0.917840
0.805248, -0.715776, 0.917106
0.804606, -0.715206, 0.916367
0.803962, -0.714633, 0.915623
0.803316, -0.714058, 0.914874
0.802667, -0.713482, 0.914119
0.802016, -0.712903, 0.913360
0.801363, -0.712323, 0.912595
0.800708, -0.711740, 0.911825
0.800050, -0.711156, 0.911050
0.799390, -0.710569, 0.910269
0.798728, -0.709981, 0.909483
0.798064, -0.709391, 0.908693
0.797398, -0.708798, 0.907896
0.796729, -0.708204, 0.907095
0.796059, -0.707608, 0.906288
0.795386, -0.707010, 0.905477
0.794711, -0.706410, 0.904659
0.794033, -0.705807, 0.903837
0.793354, -0.705203, 0.903009
0.792672, -0.704598, 0.902176
0.791988, -0.703990, 0.901337
0.791302, -0.703380, 0.900493
0.790614, -0.702768, 0.899644
0.789924, -0.702154, 0.898789
0.789231, -0.701539, 0.897929
0.788536, -0.700921, 0.897064
0.787839, -0.700302, 0.896193
0.787140, -0.699680, 0.895317
0.786439, -0.699057, 0.894435
0.785736, -0.698432, 0.893548
0.785030, -0.697805, 0.892656
0.784323, -0.697176, 0.891758
0.783613, -0.696545, 0.890855
0.782901, -0.695912, 0.889946
0.782187, -0.695277, 0.889032
0.781470, -0.694640, 0.888112
0.780752, -0.694002, 0.887187
0.780032, -0.693361, 0.886256
0.779309, -0.692719, 0.885320
0.778584, -0.692075, 0.884379
0.777857, -0.691429, 0.883431
0.777128, -0.690781, 0.882479
0.776397, -0.690131, 0.881521
0.775664, -0.689479, 0.880557
0.774929, -0.688826, 0.879588
0.774192, -0.688170, 0.878614
0.773452, -0.687513, 0.877633
0.772711, -0.686854, 0.876648
0.771967, -0.686193, 0.875657
0.771222, -0.685530, 0.874660
0.770474, -0.684866, 0.873658
0.769724, -0.684199, 0.872651
0.768972, -0.683531, 0.871637
0.768219, -0.682861, 0.870619
0.767463, -0.682189, 0.869595
0.766705, -0.681515, 0.868565
0.765945, -0.680840, 0.867530
0.765183, -0.680163, 0.866489
0.764419, -0.679484, 0.865443
0.763653, -0.678803, 0.864392
0.762885, -0.678120, 0.863334
0.762115, -0.677436, 0.862272
0.761343, -0.676749, 0.861204
0.760569, -0.676062, 0.860130
0.759793, -0.675372, 0.859051
0.759015, -0.674680, 0.857967
0.758236, -0.673987, 0.856877
0.757454, -0.673292, 0.855781
0.756670, -0.672596, 0.854680
0.755885, -0.671897, 0.853574
0.755097, -0.671197, 0.852462
0.754307, -0.670495, 0.851345
0.753516, -0.669792, 0.850222
0.752723, -0.669087, 0.849094
0.751927, -0.668380, 0.847961
0.751130, -0.667671, 0.846822
0.750331, -0.666961, 0.845678
0.749530, -0.666249, 0.844528
0.748728, -0.665536, 0.843373
0.747923, -0.664820, 0.842213
0.747117, -0.664104, 0.841047
0.746308, -0.663385, 0.839877
0.745498, -0.662665, 0.838700
0.744686, -0.661943, 0.837519
0.743872, -0.661220, 0.836332
0.743057, -0.660495, 0.835140
0.742239, -0.659768, 0.833942
0.741420, -0.659040, 0.832739
0.740599, -0.658310, 0.831532
0.739776, -0.657579, 0.830318
0.738952, -0.656846, 0.829100
0.738125, -0.656111, 0.827877
0.737297, -0.655375, 0.826648
0.736468, -0.654638, 0.825414
0.735636, -0.653899, 0.824175
0.734803, -0.653158, 0.822931
0.733968, -0.652416, 0.821682
0.733131, -0.651672, 0.820427
0.732293, -0.650927, 0.819168
0.731453, -0.650180, 0.817904
0.730611, -0.649432, 0.816634
0.729768, -0.648683, 0.815360
0.728923, -0.647931, 0.814080
0.728076, -0.647179, 0.812796
0.727228, -0.646425, 0.811506
0.726378, -0.645669, 0.810212
0.725526, -0.644912, 0.808913
0.724673, -0.644154, 0.807609
0.723819, -0.643394, 0.806300
0.722962, -0.642633, 0.804986
0.722105, -0.641871, 0.803668
0.721245, -0.641107, 0.802344
0.720384, -0.640341, 0.801016
0.719522, -0.639575, 0.799683
0.718658, -0.638807, 0.798346
0.717792, -0.638037, 0.797003
0.716925, -0.637267, 0.795656
0.716056, -0.636495, 0.794305
0.715186, -0.635721, 0.792948
0.714315, -0.634947, 0.791588
0.713442, -0.634171, 0.790222
0.712567, -0.633393, 0.788852
0.711692, -0.632615, 0.787478
0.710814, -0.631835, 0.786099
0.709936, -0.631054, 0.784716
0.709056, -0.630272, 0.783328
0.708174, -0.629488, 0.781936
0.707291, -0.628703, 0.780540
0.706407, -0.627917, 0.779139
0.705521, -0.627130, 0.777734
0.704634, -0.626342, 0.776324
0.703746, -0.625552, 0.774911
0.702856, -0.624761, 0.773493
0.701965, -0.623969, 0.772071
0.701073, -0.623176, 0.770645
0.700180, -0.622382, 0.769214
0.699285, -0.621586, 0.767780
0.698389, -0.620790, 0.766341
0.697491, -0.619992, 0.764899
0.696593, -0.619194, 0.763453
0.695693, -0.618394, 0.762002
0.694792, -0.617593, 0.760548
0.693890, -0.616791, 0.759090
0.692986, -0.615988, 0.757628
0.692082, -0.615184, 0.756162
0.691176, -0.614379, 0.754692
0.690269, -0.613572, 0.753219
0.689361, -0.612765, 0.751742
0.688452, -0.611957, 0.750261
0.687541, -0.611148, 0.748777
0.686630, -0.610338, 0.747289
0.685717, -0.609527, 0.745797
0.684804, -0.608714, 0.744302
0.683889, -0.607901, 0.742804
0.682973, -0.607087, 0.741302
0.682057, -0.606272, 0.739796
0.681139, -0.605457, 0.738287
0.680220, -0.604640, 0.736775
0.679300, -0.603822, 0.735260
0.678379, -0.603004, 0.733741
0.677457, -0.602184, 0.732219
0.676535, -0.601364, 0.730694
0.675611, -0.600543, 0.729166
0.674686, -0.599721, 0.727634
0.673761, -0.598898, 0.726100
0.672834, -0.598075, 0.724562
0.671907, -0.597250, 0.723022
0.670978, -0.596425, 0.721478
0.670049, -0.595599, 0.719932
0.669119, -0.594772, 0.718382
0.668188, -0.593945, 0.716830
0.667256, -0.593117, 0.715275
0.666324, -0.592288, 0.713718
0.665390, -0.591458, 0.712157
0.664456, -0.590627, 0.710594
0.663521, -0.589796, 0.709029
0.662585, -0.588964, 0.707460
0.661648, -0.588132, 0.705889
0.660711, -0.587299, 0.704316
0.659773, -0.586465, 0.702740
0.658834, -0.585631, 0.701162
0.657895, -0.584795, 0.699581
0.656955, -0.583960, 0.697998
0.656014, -0.583123, 0.696413
0.655072, -0.582286, 0.694825
0.654130, -0.581449, 0.693235
0.653187, -0.580611, 0.691644
0.652244, -0.579772, 0.690049
0.651299, -0.578933, 0.688453
0.650355, -0.578093, 0.686855
0.649409, -0.577253, 0.685255
0.648463, -0.576412, 0.683652
0.647517, -0.575571, 0.682048
0.646570, -0.574729, 0.680442
0.645622, -0.573886, 0.678834
0.644674, -0.573044, 0.677224
0.643725, -0.572200, 0.675613
0.642776, -0.571357, 0.674000
0.641827, -0.570512, 0.672385
0.640876, -0.569668, 0.670768
0.639926, -0.568823, 0.669150
0.638975, -0.567977, 0.667530
0.638023, -0.567132, 0.665909
0.637071, -0.566285, 0.664286
0.636119, -0.565439, 0.662662
0.635166, -0.564592, 0.661037
0.634213, -0.563745, 0.659410
0.633259, -0.562897, 0.657782
0.632305, -0.562049, 0.656153
0.631351, -0.561201, 0.654522
0.630396, -0.560352, 0.652890
0.629441, -0.559503, 0.651257
0.628486, -0.558654, 0.649623
0.627530, -0.557805, 0.647988
0.626574, -0.556955, 0.646352
0.625618, -0.556105, 0.644715
0.624662, -0.555255, 0.643077
0.623705, -0.554404, 0.641439
0.622748, -0.553554, 0.639799
0.621791, -0.552703, 0.638159
0.620833, -0.551852, 0.636517
0.619876, -0.551001, 0.634876
0.618918, -0.550149, 0.633233
0.617960, -0.549298, 0.631590
0.617002, -0.548446, 0.629946
0.616043, -0.547594, 0.628302
0.615085, -0.546742, 0.626657
0.614126, -0.545890, 0.625012
0.613167, -0.545038, 0.623366
0.612208, -0.544185, 0.621720
0.611249, -0.543333, 0.620073
0.610290, -0.542480, 0.618427
0.609331, -0.541628, 0.616779
0.608372, -0.540775, 0.615132
0.607412, -0.539922, 0.613485
0.606453, -0.539069, 0.611837
0.605494, -0.538217, 0.610189
0.604534, -0.537364, 0.608542
0.603575, -0.536511, 0.606894
0.602615, -0.535658, 0.605246
0.601656, -0.534805, 0.603598
0.600697, -0.533953, 0.601951
0.599737, -0.533100, 0.600303
0.598778, -0.532247, 0.598656
0.597819, -0.531394, 0.597009
0.596860, -0.530542, 0.595362
0.595900, -0.529689, 0.593715
0.594941, -0.528837, 0.592069
0.593983, -0.527984, 0.590423
0.593024, -0.527132, 0.588777
0.592065, -0.526280, 0.587132
0.591107, -0.525428, 0.585488
0.590148, -0.524576, 0.583844
0.589190, -0.523724, 0.582200
0.588232, -0.522873, 0.580557
0.587274, -0.522021, 0.578915
0.586316, -0.521170, 0.577273
